project_code,mounting_zone,environment_rating,wire_count,connector_count,splice_count,branch_points,avg_wire_length_m,total_wire_length_m,dominant_awg,awg_mix_entropy,insulation,shield_type,bundle_protection,connector_series,voltage_level,continuity_test,insulation_resistance_test,hipot_test,harness_weight_kg,current_max_amp,complexity_score,estimated_build_time_hr,estimated_material_cost_usd,defect_risk_prob,likely_defect
P4345,Engine Nacelle,Normal,88,16,4,3,0.976,85.87,18,0.641,PTFE,Foil,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,1.669,8,6.65,21.37,648.51,0.235,0
P1009,Avionics Bay,Moisture-Prone,110,22,6,4,1.812,199.31,20,0.888,XL-ETFE,None,Spiral Wrap,Micro-D,270VDC,TRUE,TRUE,TRUE,3.007,5,6.74,21.16,762.64,0.237,0
P5033,Engine Nacelle,Normal,23,10,2,0,2.282,52.49,20,0.594,PVC,Braid,Heat Shrink,Micro-D,28VDC,TRUE,TRUE,FALSE,0.786,5,5.53,13.01,349.87,0.224,1
P7028,Cargo Bay,Normal,81,32,1,9,2.166,175.42,10,0.505,PTFE,Braid,Heat Shrink,MIL-DTL-26482,230VAC 50Hz,TRUE,FALSE,TRUE,10.141,30,7.13,19.86,979.43,0.248,0
P8783,Cockpit,Normal,99,27,6,8,1.348,133.46,12,0.563,XL-ETFE,Foil+Braid,Spiral Wrap,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,5.676,25,7.7,24.25,1307.08,0.266,0
P7514,Wing Root,Normal,56,19,3,4,1.516,84.9,24,0.41,PVC,Foil,Braided Sleeving,D-Sub,115VAC 400Hz,TRUE,TRUE,FALSE,0.744,2,6.47,18.48,244.22,0.251,1
P6475,Avionics Bay,High Temp,110,31,4,6,2.266,249.28,16,0.803,Polyimide,Foil,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,6.662,11.05,7.85,23.01,1339.35,0.294,1
P9238,Cockpit,Normal,104,25,5,5,2.052,213.37,24,0.584,XL-ETFE,Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.936,2,7.32,22.46,718.97,0.284,0
P9230,Cockpit,Normal,116,31,0,7,1.513,175.48,20,0.799,PVC,None,Lacing Cord,MIL-DTL-83723,270VDC,TRUE,TRUE,TRUE,2.604,5,6.22,19.05,1175.02,0.273,1
P5361,Cargo Bay,High Temp,67,13,0,2,1.198,80.29,12,0.446,XL-ETFE,Foil+Braid,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,FALSE,3.336,21.25,6.83,17.94,582.13,0.239,0
P8312,Engine Nacelle,Normal,86,28,6,1,1.355,116.52,24,0.522,PVC,Foil+Braid,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,1.045,2,7.31,19.85,706.97,0.276,0
P9228,Wing Root,Vibration-Prone,81,23,3,6,1.818,147.25,24,1,PTFE,Foil,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.446,2,7.35,18,1106.35,0.382,1
P8813,Engine Nacelle,Normal,100,25,6,4,1.934,193.36,22,0.501,XL-ETFE,None,Heat Shrink,D-Sub,28VDC,TRUE,TRUE,FALSE,2.127,3,6.41,17.05,407.77,0.227,0
P2980,Cockpit,High Temp,108,26,5,4,1.708,184.45,22,0.554,PTFE,Foil+Braid,Heat Shrink,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.153,2.55,7.96,23.82,779.51,0.273,0
P2875,Cabin,Normal,93,16,5,2,1.719,159.83,14,0.592,PTFE,Braid,Braided Sleeving,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,5.469,20,6.9,21.29,392.54,0.242,1
P4117,Cabin,High Temp,95,23,2,8,1.492,141.77,12,0.583,XL-ETFE,None,Braided Sleeving,MIL-DTL-26482,230VAC 50Hz,TRUE,TRUE,TRUE,5.765,21.25,6.66,19.48,703.78,0.235,1
P4638,Wing Root,Normal,98,24,9,7,1.227,120.22,26,0.751,PVC,Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,0.862,1.2,7.5,23.32,628.31,0.315,0
P2646,Cockpit,High Temp,88,15,1,2,2.287,201.23,18,0.908,XL-ETFE,None,Heat Shrink,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,3.917,6.8,6.06,14.05,697.81,0.217,0
P7059,Engine Nacelle,High Temp,112,25,0,8,1.624,181.85,20,0.825,XL-ETFE,None,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,2.711,4.25,6.55,19.89,1021.6,0.232,0
P9212,Wing Root,Vibration-Prone,83,19,1,4,0.923,76.59,18,0.58,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,1.471,8,7.24,16.59,832.95,0.377,0
P8052,Cockpit,High Temp,121,30,3,5,1.789,216.44,20,0.628,Polyimide,Foil+Braid,Lacing Cord,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,3.263,4.25,8.23,23.44,1434.09,0.339,0
P7813,Cargo Bay,Normal,112,26,2,6,2.085,233.55,20,0.628,PTFE,None,Heat Shrink,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,3.354,5,6.33,17.64,1209.59,0.225,0
P3496,Cargo Bay,Normal,93,30,7,3,1.61,149.77,18,0.106,PTFE,Braid,Heat Shrink,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,2.608,8,7.34,22.53,1110.04,0.255,1
P3978,Cargo Bay,High Temp,83,19,0,5,1.191,98.82,24,0.66,Polyimide,None,Spiral Wrap,Micro-D,115VAC 400Hz,TRUE,TRUE,TRUE,0.867,1.7,6.37,13.38,558.39,0.246,0
P9734,Avionics Bay,Normal,81,13,0,3,1.068,86.47,16,0.656,PTFE,Braid,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.247,13,6.35,13.85,643.56,0.224,0
P2638,Wing Root,High Temp,108,30,0,2,1.053,113.75,18,0.555,XL-ETFE,Braid,Heat Shrink,Micro-D,28VDC,TRUE,TRUE,FALSE,2.174,6.8,7.26,19.84,871.29,0.251,0
P8993,Wing Root,Normal,79,15,3,5,2.079,164.21,14,0.568,PTFE,None,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,5.327,20,5.92,14.54,519.5,0.24,0
P5200,Cockpit,Moisture-Prone,89,19,5,4,1.593,141.75,18,0.862,PTFE,None,Heat Shrink,MIL-DTL-83723,230VAC 50Hz,TRUE,TRUE,FALSE,2.736,8,6.51,17.95,737.77,0.23,0
P4456,Engine Nacelle,Normal,39,7,3,0,1.181,46.07,16,0.707,XL-ETFE,Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.209,13,5.74,14.93,363.42,0.209,1
P5941,Cockpit,Normal,89,30,3,4,1.115,99.24,24,0.827,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,0.944,2,6.94,23.27,1264.78,0.244,0
P4537,Wing Root,High Temp,64,16,5,4,1.724,110.31,20,0.94,PTFE,None,Braided Sleeving,MIL-DTL-26482,230VAC 50Hz,TRUE,TRUE,TRUE,1.68,4.25,6.33,17.52,416.66,0.225,0
P4390,Cabin,High Temp,96,25,0,3,1.744,167.47,16,0.484,XL-ETFE,None,Heat Shrink,Micro-D,115VAC 400Hz,TRUE,TRUE,TRUE,4.007,11.05,6.27,17.58,838.61,0.224,0
P4331,Avionics Bay,Moisture-Prone,71,21,2,1,1.218,86.5,22,0.409,PVC,Foil,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,0.981,3,6.71,20.28,644.13,0.259,0
P1610,Cockpit,Normal,58,11,4,1,1.022,59.25,24,0.619,Polyimide,Foil+Braid,Lacing Cord,MIL-DTL-83723,270VDC,TRUE,TRUE,TRUE,0.541,2,6.77,17,427.58,0.289,0
P3274,Cargo Bay,Normal,55,12,0,2,2.108,115.95,16,0.459,XL-ETFE,Braid,Lacing Cord,Micro-D,28VDC,TRUE,TRUE,FALSE,2.898,13,6.04,11.67,467.36,0.242,0
P1282,Cabin,Normal,63,18,3,2,1.52,95.77,20,0.367,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-83723,270VDC,TRUE,TRUE,FALSE,1.37,5,6.84,20.47,696.61,0.24,0
P9438,Wing Root,High Temp,133,35,3,7,1.708,227.22,20,0.661,PTFE,None,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,3.283,4.25,7.1,25.68,1098.83,0.249,1
P4348,Avionics Bay,Normal,63,7,1,2,1.905,120.04,20,0.851,XL-ETFE,Foil+Braid,Braided Sleeving,D-Sub,115VAC 400Hz,TRUE,TRUE,TRUE,1.889,5,6.24,16.59,190.12,0.223,1
P4674,Cabin,Normal,84,20,3,6,1.525,128.1,12,0.411,PTFE,Foil+Braid,Lacing Cord,Micro-D,28VDC,TRUE,FALSE,FALSE,5.285,25,7.25,21.15,722.51,0.281,0
P8230,Cargo Bay,Vibration-Prone,99,22,4,4,1.236,122.34,16,0.618,XL-ETFE,Foil,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,3.156,13,7.42,23,672.91,0.423,1
P5790,Cabin,Vibration-Prone,82,20,1,3,1.739,142.6,14,0.833,XL-ETFE,Foil+Braid,Heat Shrink,Micro-D,230VAC 50Hz,TRUE,TRUE,TRUE,5.11,20,7.43,15.44,719.29,0.383,0
P7748,Wing Root,High Temp,129,25,5,7,1.502,193.7,20,0.431,PTFE,Foil+Braid,Braided Sleeving,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.808,4.25,8.16,23.8,748.34,0.279,0
P5318,Cockpit,Normal,111,27,2,4,2.047,227.24,20,0.626,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,FALSE,3.425,5,6.93,20.3,807.26,0.242,0
P8835,Cargo Bay,Normal,86,19,5,0,1.254,107.83,24,0.642,PTFE,Foil+Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,0.99,2,6.96,19.98,706.74,0.243,1
P8597,Engine Nacelle,Normal,25,7,0,0,1.696,42.4,22,0.781,PVC,None,Spiral Wrap,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,0.493,3,4.28,7.08,272.22,0.191,0
P7905,Wing Root,Normal,93,29,7,6,1.362,126.68,12,0.18,PTFE,Foil,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,4.981,25,7.23,21.43,842.65,0.28,0
P8929,Engine Nacelle,Normal,62,28,0,5,2.022,125.39,26,0.645,XL-ETFE,Braid,Heat Shrink,MIL-DTL-26482,270VDC,TRUE,TRUE,TRUE,0.881,1.2,6.65,17.87,744.11,0.234,0
P7687,Avionics Bay,Vibration-Prone,141,42,0,8,1.293,182.34,18,0.393,PTFE,None,Spiral Wrap,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,3.212,8,7.01,21.07,1076.07,0.371,1
P7361,Cargo Bay,High Temp,95,24,4,3,1.178,111.9,14,0.812,PTFE,Braid,Lacing Cord,MIL-DTL-83723,270VDC,TRUE,TRUE,TRUE,3.994,17,7.53,18.69,926.4,0.288,0
P1234,Cockpit,Vibration-Prone,86,18,4,7,1.717,147.64,22,0.563,PTFE,Foil+Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,FALSE,FALSE,1.727,3,7.81,22.65,559.44,0.437,1
P4923,Cockpit,Normal,72,15,4,3,0.735,52.95,18,0.651,XL-ETFE,None,Braided Sleeving,D-Sub,230VAC 50Hz,TRUE,TRUE,FALSE,0.982,8,5.84,17.79,220.39,0.213,0
P6102,Engine Nacelle,Normal,99,17,3,4,1.732,171.47,12,0.724,XL-ETFE,None,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,FALSE,FALSE,7.166,25,6.06,14.08,807.62,0.217,0
P8557,Cabin,Vibration-Prone,40,4,6,2,1.577,63.08,24,0.825,PTFE,None,Spiral Wrap,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,0.571,2,5.49,14.67,187.66,0.317,0
P4667,Cabin,Vibration-Prone,114,33,3,6,2.147,244.73,12,0.647,Polyimide,None,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,10.076,25,7.24,24.38,1141.08,0.41,0
P6520,Wing Root,Normal,130,39,1,5,1.97,256.16,14,0.505,XL-ETFE,Foil+Braid,Heat Shrink,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,FALSE,8.616,20,7.59,20.89,1616.95,0.261,0
P1614,Cabin,Normal,10,4,1,0,2.094,20.94,22,0.386,PTFE,None,Heat Shrink,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,0.225,3,3.71,9.43,111.74,0.162,0
P7534,Wing Root,Normal,100,26,5,2,0.91,90.97,18,0.464,PTFE,Braid,Lacing Cord,MIL-DTL-83723,270VDC,TRUE,TRUE,FALSE,1.707,8,7.16,20.63,974.35,0.278,0
P4273,Avionics Bay,Vibration-Prone,97,27,0,5,1.988,192.85,14,0.761,PTFE,Foil,Braided Sleeving,D-Sub,230VAC 50Hz,TRUE,TRUE,TRUE,6.818,20,7.16,21.33,550.51,0.377,0
P2661,Avionics Bay,Vibration-Prone,63,18,3,0,1.783,112.34,26,0.935,PTFE,Foil,Lacing Cord,Micro-D,115VAC 400Hz,TRUE,TRUE,TRUE,0.833,1.2,6.71,14.88,565.07,0.393,0
P8032,Engine Nacelle,Normal,74,17,3,0,1.832,135.57,20,0.802,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,FALSE,FALSE,2.113,5,6.49,14.88,812.99,0.228,1
P6131,Engine Nacelle,Normal,100,24,6,4,1.027,102.74,18,0.719,XL-ETFE,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.93,8,6.39,19.41,1111.13,0.227,0
P8644,Wing Root,Normal,79,19,3,3,1.065,84.13,20,0.648,XL-ETFE,Foil,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.273,5,6.61,19.85,535.57,0.261,1
P5744,Engine Nacelle,Normal,39,16,0,3,2.397,93.48,24,0.447,XL-ETFE,Braid,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,0.825,2,6.04,13.16,611.75,0.243,0
P4278,Engine Nacelle,Normal,42,9,1,3,1.916,80.48,22,0.668,PTFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.915,3,5.07,7.75,448.55,0.215,0
P9575,Cabin,Normal,97,28,4,3,1.585,153.78,20,0.671,PVC,None,Spiral Wrap,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.227,5,6.3,21.52,1318.79,0.247,0
P8404,Cabin,Vibration-Prone,108,32,8,7,1.534,165.64,18,0.384,PVC,Foil,Braided Sleeving,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,3.058,8,7.94,28.4,1234.27,0.437,1
P1922,Cabin,Normal,98,24,4,5,1.866,182.89,22,0.739,XL-ETFE,None,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.108,3,6.32,20.35,1190.33,0.226,0
P3103,Wing Root,Normal,59,17,3,3,2.58,152.21,18,0.365,XL-ETFE,Foil+Braid,Heat Shrink,Micro-D,28VDC,TRUE,TRUE,FALSE,2.799,8,6.84,17.44,593.85,0.239,1
P2678,Cabin,Normal,108,32,5,6,1.939,209.37,22,0.7,PVC,Foil,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,2.515,3,7.28,24.04,1256.41,0.277,0
P7055,Cargo Bay,Normal,55,14,4,2,1.733,95.3,16,0.76,Polyimide,Foil+Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.526,13,6.93,18.39,462.08,0.294,0
P4805,Cargo Bay,Normal,73,12,2,2,1.404,102.46,16,0.543,XL-ETFE,Foil+Braid,Heat Shrink,D-Sub,28VDC,TRUE,TRUE,FALSE,2.604,13,6.66,15.28,275.02,0.233,1
P1649,Cockpit,Normal,105,21,4,8,1.318,138.37,18,0.802,XL-ETFE,None,Heat Shrink,MIL-DTL-83723,270VDC,TRUE,TRUE,TRUE,2.641,8,6.4,17.47,796.82,0.227,0
P3032,Engine Nacelle,High Temp,112,27,5,5,1.638,183.47,16,0.634,XL-ETFE,Foil+Braid,Lacing Cord,Micro-D,28VDC,TRUE,TRUE,FALSE,4.747,11.05,8.05,24.26,965.34,0.307,0
P4129,Engine Nacelle,Normal,51,12,2,1,0.705,35.94,22,0.176,XL-ETFE,Foil,Braided Sleeving,MIL-DTL-26482,270VDC,TRUE,TRUE,TRUE,0.388,3,5.93,13.99,288.02,0.214,1
P7992,Cargo Bay,High Temp,126,27,5,5,1.889,238.04,24,0.509,PVC,Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.128,1.7,7.89,24.09,1284.16,0.296,0
P4303,Engine Nacelle,Vibration-Prone,89,17,5,3,1.897,168.85,18,0.623,XL-ETFE,None,Heat Shrink,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,3.114,8,6.57,19.93,719.24,0.356,0
P6698,Cabin,Normal,87,19,1,5,1.34,116.61,26,0.531,PTFE,Foil,Heat Shrink,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,0.801,1.2,6.58,15.84,880.36,0.231,1
P9721,Engine Nacelle,High Temp,101,21,0,5,1.551,156.64,20,0.619,PTFE,None,Spiral Wrap,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,2.245,4.25,6.31,18.01,997.83,0.225,1
P7289,Cockpit,High Temp,75,15,3,2,1.672,125.39,12,0.697,XL-ETFE,Braid,Braided Sleeving,Micro-D,230VAC 50Hz,TRUE,TRUE,TRUE,5.475,21.25,7.05,17.31,578.41,0.245,0
P2956,Cabin,Normal,89,20,3,3,0.994,88.48,20,0.664,PTFE,Foil+Braid,Lacing Cord,Micro-D,270VDC,TRUE,FALSE,TRUE,1.343,5,7.15,17.05,656.81,0.276,0
P6054,Cockpit,Normal,88,21,1,5,2.195,193.19,18,0.306,PTFE,Foil+Braid,Lacing Cord,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,3.51,8,7.08,18.34,937.73,0.275,0
P3971,Cockpit,Vibration-Prone,108,24,6,7,1.368,147.78,16,0.555,Polyimide,Foil+Braid,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,3.765,13,8.38,23.49,1111.26,0.489,0
P9378,Cabin,Vibration-Prone,47,17,0,0,1.552,72.94,12,0.603,PTFE,Braid,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,3.127,25,6.42,15.19,762.16,0.348,1
P1464,Wing Root,Normal,84,17,1,3,2.085,175.16,24,0.35,PTFE,Braid,Braided Sleeving,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,1.516,2,6.64,18.19,527.2,0.234,0
P5926,Cabin,Normal,91,26,0,3,1.351,122.91,26,0.749,XL-ETFE,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.839,1.2,5.84,17.57,1114.26,0.239,0
P4121,Cargo Bay,High Temp,54,11,2,2,1.186,64.07,16,0.602,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-26482,270VDC,TRUE,TRUE,TRUE,1.648,11.05,6.65,20.16,311.84,0.235,0
P9207,Wing Root,Normal,60,11,2,2,0.932,55.94,20,0.632,PTFE,None,Heat Shrink,Micro-D,115VAC 400Hz,TRUE,TRUE,TRUE,0.804,5,5.39,13.51,326.93,0.2,0
P8362,Avionics Bay,Vibration-Prone,49,10,1,1,1.536,75.24,22,0.681,PTFE,None,Heat Shrink,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,0.858,3,5.56,13.98,453.32,0.319,1
P2881,Cockpit,Normal,82,11,6,3,1.382,113.3,22,0.426,PVC,None,Heat Shrink,MIL-DTL-26482,115VAC 400Hz,TRUE,TRUE,TRUE,1.228,3,5.87,17.28,330.45,0.234,0
P5427,Cabin,High Temp,86,22,4,0,1.855,159.57,22,0.812,PVC,None,Lacing Cord,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,1.865,2.55,6.28,21.21,1006.74,0.276,0
P8774,Wing Root,Moisture-Prone,63,15,0,0,1.574,99.15,14,0.666,XL-ETFE,Foil+Braid,Braided Sleeving,MIL-DTL-38999,28VDC,TRUE,TRUE,FALSE,3.442,20,6.58,18.1,759.87,0.232,0
P8244,Cargo Bay,High Temp,57,13,2,2,1.616,92.13,16,0.751,XL-ETFE,Braid,Heat Shrink,MIL-DTL-38999,270VDC,TRUE,TRUE,TRUE,2.438,11.05,6.76,18.56,649.3,0.237,0
P6540,Cockpit,Moisture-Prone,64,17,2,4,1.681,107.6,18,0.699,XL-ETFE,Braid,Heat Shrink,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,2.115,8,6.97,16.18,792.36,0.242,1
P9864,Wing Root,High Temp,83,23,1,3,1.551,128.77,14,0.518,XL-ETFE,None,Lacing Cord,MIL-DTL-83723,115VAC 400Hz,TRUE,TRUE,TRUE,4.136,17,6.29,19.7,902.82,0.252,0
P5675,Cargo Bay,Normal,87,26,4,7,1.787,155.44,18,0.869,PVC,Foil,Braided Sleeving,MIL-DTL-38999,115VAC 400Hz,TRUE,TRUE,TRUE,3.155,8,7.04,21.18,1256.87,0.269,0
P2353,Avionics Bay,Normal,43,8,0,1,1.385,59.54,18,0.573,PTFE,Foil,Braided Sleeving,Micro-D,28VDC,TRUE,TRUE,FALSE,1.142,8,5.42,15.44,316.58,0.202,0
P8500,Cabin,Vibration-Prone,81,17,0,5,1.137,92.14,18,1,PVC,Foil+Braid,Heat Shrink,Micro-D,115VAC 400Hz,TRUE,TRUE,TRUE,1.915,8,7.3,20.02,550.34,0.41,0
P2819,Cargo Bay,Normal,75,24,2,2,1.981,148.58,10,0.966,PVC,None,Spiral Wrap,MIL-DTL-83723,270VDC,TRUE,TRUE,TRUE,8.934,30,5.88,14.77,1044.06,0.233,1
P6730,Engine Nacelle,Normal,111,28,3,8,2.113,234.52,26,0.727,XL-ETFE,Braid,Braided Sleeving,MIL-DTL-83723,28VDC,TRUE,TRUE,FALSE,1.673,1.2,7.4,19.21,1138.57,0.255,0
P2375,Engine Nacelle,Normal,102,21,2,2,1.385,141.3,20,0.743,XL-ETFE,Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,2.178,5,6.88,16.91,590.27,0.268,0
P7772,Cargo Bay,Normal,24,6,2,1,1.555,37.31,14,0.34,PTFE,Braid,Braided Sleeving,MIL-DTL-83723,230VAC 50Hz,TRUE,TRUE,TRUE,1.214,20,5.44,12.72,282.09,0.201,0
P1478,Cockpit,Normal,49,4,3,0,1.996,97.79,22,0.852,Polyimide,Braid,Lacing Cord,MIL-DTL-26482,28VDC,TRUE,TRUE,FALSE,1.209,3,5.84,10.75,199.6,0.259,1
P6731,Engine Nacelle,Vibration-Prone,71,27,2,4,1.912,135.76,24,0.617,PTFE,None,Spiral Wrap,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,1.181,2,6.52,16.63,1187.9,0.352,1
P5994,Wing Root,Normal,76,22,5,4,1.927,146.43,14,0.515,PTFE,Braid,Heat Shrink,MIL-DTL-38999,230VAC 50Hz,TRUE,TRUE,TRUE,4.935,20,7.05,20.01,1164.77,0.245,0
